1 2 3
1 2 3
10.245 17.555 -4.296
1 2 3

1 2 3
1 2 3
1 2 3
10.223 17.584 -4.292
1 2 3

1 2 3
1 2 3
1 2 3
10.201 17.613 -4.289
1 2 3

1 2 3
1 2 3
1 2 3
10.181 17.640 -4.286
1 2 3

1 2 3
1 2 3
1 2 3
10.161 17.667 -4.282
1 2 3

1 2 3
1 2 3
1 2 3
10.138 17.692 -4.279
1 2 3

1 2 3
1 2 3
1 2 3
10.114 17.718 -4.276
1 2 3

1 2 3
1 2 3
1 2 3
10.094 17.742 -4.272
1 2 3

1 2 3
1 2 3
1 2 3
10.074 17.766 -4.269
1 2 3

1 2 3
1 2 3
1 2 3
10.053 17.790 -4.266
1 2 3

1 2 3
1 2 3
1 2 3
10.031 17.818 -4.262
1 2 3

1 2 3
1 2 3
1 2 3
10.011 17.845 -4.259
1 2 3

1 2 3
1 2 3
1 2 3
9.992 17.872 -4.255
1 2 3

1 2 3
1 2 3
1 2 3
9.973 17.899 -4.252
1 2 3

1 2 3
1 2 3
1 2 3
9.955 17.926 -4.249
1 2 3

1 2 3
1 2 3
1 2 3
9.937 17.952 -4.246
1 2 3

1 2 3
1 2 3
1 2 3
9.918 17.978 -4.242
1 2 3

1 2 3
1 2 3
1 2 3
9.900 18.004 -4.239
1 2 3

1 2 3
1 2 3
1 2 3
9.881 18.030 -4.236
1 2 3

1 2 3
1 2 3
1 2 3
9.860 18.056 -4.233
1 2 3

1 2 3
1 2 3
1 2 3
9.842 18.081 -4.229
1 2 3

1 2 3
1 2 3
1 2 3
9.824 18.104 -4.226
1 2 3

1 2 3
1 2 3
1 2 3
9.805 18.128 -4.223
1 2 3

1 2 3
1 2 3
1 2 3
9.785 18.150 -4.220
1 2 3

1 2 3
1 2 3
1 2 3
9.765 18.175 -4.217
1 2 3

1 2 3
1 2 3
1 2 3
9.747 18.200 -4.214
1 2 3

1 2 3
1 2 3
1 2 3
9.729 18.224 -4.211
1 2 3

1 2 3
1 2 3
1 2 3
9.713 18.247 -4.208
1 2 3

1 2 3
1 2 3
1 2 3
9.695 18.271 -4.205
1 2 3

1 2 3
1 2 3
1 2 3
9.675 18.295 -4.202
1 2 3

1 2 3
1 2 3
1 2 3
9.657 18.319 -4.199
1 2 3

1 2 3
1 2 3
1 2 3
9.640 18.342 -4.196
1 2 3

1 2 3
1 2 3
1 2 3
9.623 18.365 -4.193
1 2 3

1 2 3
1 2 3
1 2 3
9.605 18.385 -4.190
1 2 3

1 2 3
1 2 3
1 2 3
9.587 18.409 -4.187
1 2 3

1 2 3
1 2 3
1 2 3
9.569 18.432 -4.184
1 2 3

1 2 3
1 2 3
1 2 3
9.550 18.455 -4.181
1 2 3

1 2 3
1 2 3
1 2 3
9.532 18.477 -4.178
1 2 3

1 2 3
1 2 3
1 2 3
9.515 18.500 -4.175
1 2 3

1 2 3
1 2 3
1 2 3
9.499 18.522 -4.172
1 2 3

1 2 3
1 2 3
1 2 3
9.482 18.544 -4.169
1 2 3

1 2 3
